"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"2015-Nov","11/02","2.817","11/09","2.824","11/16","2.780","11/23","2.716","11/30","2.691"
"2015-Dec","12/07","2.679","12/14","2.654","12/21","2.736","12/28","2.825","",""
"2016-Jan","01/04","2.875","01/11","2.842","01/18","2.712","01/25","2.643","",""
"2016-Feb","02/01","2.551","02/08","2.486","02/15","2.378","02/22","2.295","02/29","2.406"
"2016-Mar","03/07","2.441","03/14","2.596","03/21","2.681","03/28","2.782","",""
"2016-Apr","04/04","2.776","04/11","2.750","04/18","2.771","04/25","2.775","",""
"2016-May","05/02","2.809","05/09","2.786","05/16","2.789","05/23","2.804","05/30","2.812"
"2016-Jun","06/06","2.840","06/13","2.864","06/20","2.866","06/27","2.929","",""
"2016-Jul","07/04","2.910","07/11","2.866","07/18","2.858","07/25","2.792","",""
"2016-Aug","08/01","2.725","08/08","2.681","08/15","2.643","08/22","2.702","08/29","2.709"
"2016-Sep","09/05","2.706","09/12","2.753","09/19","2.763","09/26","2.764","",""
"2016-Oct","10/03","2.809","10/10","2.799","10/17","2.805","10/24","2.798","10/31","2.824"
"2016-Nov","11/07","2.809","11/14","2.755","11/21","2.690","11/28","2.672","",""
"2016-Dec","12/05","2.682","12/12","2.666","12/19","2.670","12/26","2.706","",""
